athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
4592686.0,Antonio Reeves,CHA,G,https://a.espncdn.com/i/headshots/nba/players/full/4592686.png,10,6.9,2.7,0.8,0.3,0.42,0.06
5106268.0,Nae'Qwan Tomlin,CLE,F,https://a.espncdn.com/i/headshots/nba/players/full/5106268.png,64,15.73,5.84,2.91,0.83,0.42,0.14
5107199.0,Daniss Jenkins,DET,G,https://a.espncdn.com/i/headshots/nba/players/full/5107199.png,72,20.18,9.32,2.31,3.86,0.39,0.16
4397886.0,Charles Bassey,MEM,C,https://a.espncdn.com/i/headshots/nba/players/full/4397886.png,13,11.77,5.85,4.38,0.54,0.37,0.09
4437244.0,Jalen Green,PHX,G,https://a.espncdn.com/i/headshots/nba/players/full/4437244.png,32,25.91,17.75,3.62,2.84,0.35,0.19
4396907.0,Darius Garland,CLE,G,https://a.espncdn.com/i/headshots/nba/players/full/4396907.png,45,29.82,18.78,2.38,6.69,0.29,0.18
4280245.0,Jamaree Bouyea,PHX,G,https://a.espncdn.com/i/headshots/nba/players/full/4280245.png,46,14.02,5.72,1.78,1.78,0.28,0.08
4700818.0,Vladislav Goldin,MIA,C,https://a.espncdn.com/i/headshots/nba/players/full/4700818.png,9,2.56,0.78,1.0,0.33,0.27,0.01
4278402.0,Jordan Goodwin,PHX,G,https://a.espncdn.com/i/headshots/nba/players/full/4278402.png,70,22.51,8.7,4.87,2.16,0.27,0.13
4397189.0,Jalen Smith,CHI,F,https://a.espncdn.com/i/headshots/nba/players/full/4397189.png,53,20.64,10.21,6.7,1.23,0.25,0.11
3064290.0,Aaron Gordon,DEN,F,https://a.espncdn.com/i/headshots/nba/players/full/3064290.png,36,27.86,16.17,5.81,2.67,0.25,0.15
5289900.0,Mohamed Diawara,NYK,F,https://a.espncdn.com/i/headshots/nba/players/full/5289900.png,68,9.34,3.62,1.38,0.78,0.23,0.04
5105623.0,Kel'el Ware,MIL,C,https://a.espncdn.com/i/headshots/nba/players/full/5105623.png,77,22.18,11.05,9.01,0.73,0.22,0.1
4592435.0,Branden Carlson,OKC,C,https://a.espncdn.com/i/headshots/nba/players/full/4592435.png,42,11.69,5.76,2.95,0.69,0.21,0.05
2991235.0,Steven Adams,HOU,C,https://a.espncdn.com/i/headshots/nba/players/full/2991235.png,32,22.81,5.84,8.62,1.5,0.2,0.1
4601025.0,Pelle Larsson,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/4601025.png,70,26.46,11.43,3.49,3.37,0.19,0.1
4898369.0,Curtis Jones,DEN,G,https://a.espncdn.com/i/headshots/nba/players/full/4898369.png,10,8.7,2.9,1.1,1.0,0.16,0.03
4395725.0,Tyler Herro,MIL,G,https://a.espncdn.com/i/headshots/nba/players/full/4395725.png,33,31.18,20.52,4.79,4.12,0.16,0.1
4432247.0,Jaylen Clark,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4432247.png,68,13.07,4.04,1.76,0.63,0.15,0.04
3135045.0,Grayson Allen,CHA,G,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,51,28.8,16.49,3.04,3.82,0.14,0.08
4397251.0,Ron Harper Jr.,BOS,G,https://a.espncdn.com/i/headshots/nba/players/full/4397251.png,28,11.29,4.39,1.71,0.79,0.13,0.03
5214640.0,Kasparas Jakucionis,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/5214640.png,53,17.91,6.19,2.6,2.58,0.12,0.04
4432181.0,Julian Strawther,DEN,G,https://a.espncdn.com/i/headshots/nba/players/full/4432181.png,57,15.11,7.25,2.0,1.07,0.12,0.04
4348700.0,Goga Bitadze,ORL,C,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,64,15.16,5.86,5.0,1.31,0.11,0.03
4432848.0,Jaime Jaquez Jr.,MIL,F,https://a.espncdn.com/i/headshots/nba/players/full/4432848.png,75,28.31,15.36,5.0,4.69,0.1,0.06
3442.0,DeAndre Jordan,NOP,C,https://a.espncdn.com/i/headshots/nba/players/full/3442.png,12,16.5,4.42,6.33,0.92,0.1,0.03
4701208.0,Moussa Cisse,DAL,C,https://a.espncdn.com/i/headshots/nba/players/full/4701208.png,37,14.32,4.59,5.84,0.24,0.08,0.02
3146557.0,Jock Landale,MEM,C,https://a.espncdn.com/i/headshots/nba/players/full/3146557.png,68,22.19,10.56,5.69,1.69,0.06,0.03
5037871.0,Dylan Harper,SAS,G,https://a.espncdn.com/i/headshots/nba/players/full/5037871.png,70,22.67,11.91,3.44,3.8,0.01,0.0
3102533.0,Thanasis Antetokounmpo,MIL,F,https://a.espncdn.com/i/headshots/nba/players/full/3102533.png,33,4.45,1.42,0.91,0.45,-0.0,-0.0
4871141.0,Ariel Hukporti,NYK,C,https://a.espncdn.com/i/headshots/nba/players/full/4871141.png,54,9.33,2.17,2.94,0.54,-0.01,-0.0
4432811.0,Josh Green,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4432811.png,58,15.66,4.29,1.76,0.81,-0.06,-0.02
2530530.0,T.J. McConnell,IND,G,https://a.espncdn.com/i/headshots/nba/players/full/2530530.png,56,17.18,9.38,2.21,5.12,-0.07,-0.03
4593841.0,Baylor Scheierman,BOS,G,https://a.espncdn.com/i/headshots/nba/players/full/4593841.png,77,18.62,5.55,3.49,1.51,-0.09,-0.03
3978.0,DeMar DeRozan,SAC,G,https://a.espncdn.com/i/headshots/nba/players/full/3978.png,77,31.31,18.43,2.94,4.1,-0.1,-0.07
6578.0,Harrison Barnes,SAS,F,https://a.espncdn.com/i/headshots/nba/players/full/6578.png,78,25.79,9.95,2.77,1.92,-0.1,-0.05
4432194.0,Day'Ron Sharpe,BKN,C,https://a.espncdn.com/i/headshots/nba/players/full/4432194.png,62,18.69,8.71,6.66,2.34,-0.11,-0.04
4591259.0,Koby Brea,PHX,G,https://a.espncdn.com/i/headshots/nba/players/full/4591259.png,12,7.08,3.75,0.67,0.83,-0.13,-0.02
4576085.0,JD Davison,HOU,G,https://a.espncdn.com/i/headshots/nba/players/full/4576085.png,28,7.82,2.46,1.21,1.25,-0.14,-0.02
4433149.0,LJ Cryer,GSW,G,https://a.espncdn.com/i/headshots/nba/players/full/4433149.png,18,16.17,8.22,1.56,1.0,-0.17,-0.06
4432827.0,Oscar Tshiebwe,UTA,C,https://a.espncdn.com/i/headshots/nba/players/full/4432827.png,27,16.56,7.81,6.63,1.19,-0.18,-0.06
4432170.0,Isaiah Jackson,IND,F,https://a.espncdn.com/i/headshots/nba/players/full/4432170.png,55,16.51,6.73,5.27,0.95,-0.18,-0.06
4351851.0,Anfernee Simons,PHI,G,https://a.espncdn.com/i/headshots/nba/players/full/4351851.png,55,24.93,14.27,2.45,2.44,-0.19,-0.1
4903027.0,Cedric Coward,MEM,F,https://a.espncdn.com/i/headshots/nba/players/full/4903027.png,62,25.84,13.6,5.87,2.76,-0.19,-0.1
5023693.0,Tyrese Proctor,CLE,G,https://a.espncdn.com/i/headshots/nba/players/full/5023693.png,50,10.98,5.44,1.28,1.48,-0.23,-0.05
4067017.0,A.J. Lawson,TOR,G,https://a.espncdn.com/i/headshots/nba/players/full/4067017.png,23,9.83,4.39,1.87,0.3,-0.28,-0.06
3986.0,Taj Gibson,MEM,F,https://a.espncdn.com/i/headshots/nba/players/full/3986.png,10,9.7,3.4,2.7,0.6,-0.29,-0.06
4431671.0,Jaden McDaniels,MIN,F,https://a.espncdn.com/i/headshots/nba/players/full/4431671.png,73,31.74,14.85,4.25,2.73,-0.3,-0.2
4017837.0,Ivica Zubac,LAC,C,https://a.espncdn.com/i/headshots/nba/players/full/4017837.png,48,30.21,14.1,10.6,2.19,-0.3,-0.19
5105550.0,GG Jackson,MEM,F,https://a.espncdn.com/i/headshots/nba/players/full/5105550.png,54,21.81,12.7,4.35,1.5,-0.3,-0.14
4683747.0,Jaylon Tyson,CLE,G,https://a.espncdn.com/i/headshots/nba/players/full/4683747.png,66,26.95,13.21,5.12,2.23,-0.3,-0.17
4432241.0,Jamal Shead,TOR,G,https://a.espncdn.com/i/headshots/nba/players/full/4432241.png,82,22.52,6.65,1.74,5.41,-0.3,-0.14
2490149.0,CJ McCollum,WAS,G,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,76,29.75,18.74,3.32,3.86,-0.3,-0.19
4432446.0,Jabari Walker,PHI,F,https://a.espncdn.com/i/headshots/nba/players/full/4432446.png,64,11.84,4.31,3.0,0.53,-0.32,-0.08
4397227.0,Vince Williams Jr.,MEM,G,https://a.espncdn.com/i/headshots/nba/players/full/4397227.png,40,20.52,7.5,3.88,4.15,-0.32,-0.14
4432817.0,Johnny Juzang,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4432817.png,20,4.35,2.15,0.85,0.3,-0.32,-0.03
5211176.0,Tidjane Salaun,CHA,F,https://a.espncdn.com/i/headshots/nba/players/full/5211176.png,37,15.57,6.0,4.03,0.73,-0.33,-0.11
2960236.0,Maxi Kleber,LAL,F,https://a.espncdn.com/i/headshots/nba/players/full/2960236.png,41,11.22,2.1,2.05,0.66,-0.35,-0.08
3134908.0,Jakob Poeltl,TOR,C,https://a.espncdn.com/i/headshots/nba/players/full/3134908.png,46,25.0,10.72,7.02,2.02,-0.36,-0.19
3134903.0,Gary Payton II,GSW,G,https://a.espncdn.com/i/headshots/nba/players/full/3134903.png,73,15.64,7.49,3.63,1.68,-0.36,-0.12
4251.0,Paul George,BOS,F,https://a.espncdn.com/i/headshots/nba/players/full/4251.png,37,30.59,17.32,5.3,3.59,-0.38,-0.24
5159895.0,Yuki Kawamura,CHI,G,https://a.espncdn.com/i/headshots/nba/players/full/5159895.png,18,11.72,3.44,1.83,2.61,-0.39,-0.1
5061589.0,Yves Missi,NOP,C,https://a.espncdn.com/i/headshots/nba/players/full/5061589.png,66,19.62,5.71,5.83,1.27,-0.41,-0.17
4701225.0,PJ Hall,MEM,C,https://a.espncdn.com/i/headshots/nba/players/full/4701225.png,17,12.59,5.06,4.41,0.59,-0.42,-0.11
4433607.0,DaRon Holmes II,DEN,F,https://a.espncdn.com/i/headshots/nba/players/full/4433607.png,25,8.36,3.72,1.4,0.64,-0.44,-0.08
5239590.0,Liam McNeeley,CHA,G,https://a.espncdn.com/i/headshots/nba/players/full/5239590.png,31,11.81,4.26,2.35,0.77,-0.45,-0.11
4592829.0,Quenton Jackson,IND,G,https://a.espncdn.com/i/headshots/nba/players/full/4592829.png,49,18.33,9.14,2.33,2.86,-0.45,-0.17
3913180.0,Garrison Mathews,IND,G,https://a.espncdn.com/i/headshots/nba/players/full/3913180.png,14,14.0,5.57,1.21,0.71,-0.47,-0.14
4222252.0,Isaiah Hartenstein,OKC,C,https://a.espncdn.com/i/headshots/nba/players/full/4222252.png,47,24.3,9.19,9.43,3.53,-0.48,-0.24
2968436.0,Joe Ingles,MIN,F,https://a.espncdn.com/i/headshots/nba/players/full/2968436.png,22,6.91,1.86,0.86,1.55,-0.5,-0.07
4279888.0,Ja Morant,POR,G,https://a.espncdn.com/i/headshots/nba/players/full/4279888.png,20,28.4,19.45,3.25,8.05,-0.51,-0.3
4397114.0,Cormac Ryan,MIL,G,https://a.espncdn.com/i/headshots/nba/players/full/4397114.png,11,24.55,14.27,2.55,1.73,-0.52,-0.27
4706557.0,Chris Youngblood,OKC,G,https://a.espncdn.com/i/headshots/nba/players/full/4706557.png,32,5.84,2.22,0.88,0.38,-0.53,-0.06
4066372.0,Kevin Huerter,CHI,G,https://a.espncdn.com/i/headshots/nba/players/full/4066372.png,69,22.49,10.04,3.48,2.58,-0.54,-0.25
3907497.0,Dejounte Murray,NOP,G,https://a.espncdn.com/i/headshots/nba/players/full/3907497.png,14,27.86,16.71,5.36,6.36,-0.56,-0.33
2531367.0,Dwight Powell,DAL,F,https://a.espncdn.com/i/headshots/nba/players/full/2531367.png,62,14.61,3.39,4.15,1.1,-0.56,-0.17
3138196.0,Cameron Johnson,DEN,F,https://a.espncdn.com/i/headshots/nba/players/full/3138196.png,54,30.52,12.22,3.81,2.44,-0.6,-0.38
4683686.0,Nick Smith Jr.,LAL,G,https://a.espncdn.com/i/headshots/nba/players/full/4683686.png,30,12.5,6.17,0.77,1.03,-0.6,-0.16
